Constant Columns
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - SAU - M - Level, ratio or index - Saudi Riyal"
"0._No_Standard_Table - Retail Sales of Electricity in Transportation Sector, East South Central - M - billion kilowatthours"
"0._No_Standard_Table - Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, Southeast (SERC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Central (SPP ISO) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, Southwest - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from pumped storage hydropower, Texas (ERCOT) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Texas (ERCOT) - M - billion kilowatthours"
"0._No_Standard_Table - Commercial sector net generation from pumped storage hydropower, United States - M - billion kilowatthours"
"0._No_Standard_Table - Commercial sector net generation from nuclear, United States - M - billion kilowatthours"
"0._No_Standard_Table - Commercial sector net generation from other gases, United States - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector  net generation from other nonrenewable fuels, Southwest - M - billion kilowatthours"
"0._No_Standard_Table - Industrial sector net generation from geothermal, United States - M - billion kilowatthours"
"0._No_Standard_Table - Industrial sector net generation from pumped storage hydropower, United States - M - billion kilowatthours"
"0._No_Standard_Table - Industrial sector net generation from nuclear, United States - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, California - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from pumped storage hydropower, Florida (FRCC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from wind, Florida (FRCC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Florida (FRCC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, Florida (FRCC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from nuclear, Hawaii and Alaska - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from pumped storage hydropower, Hawaii and Alaska - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, Hawaii and Alaska - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Midwest (Midcontinent ISO) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, New England (ISO-NE) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, New England (ISO-NE) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Southeast (SERC) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, New York (NYISO) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from other gases, New York (NYISO) - M - billion kilowatthours"
"0._No_Standard_Table - Electric power sector net generation from geothermal, Mid-Atlantic (PJM) - M - billion kilowatthours"
0._No_Standard_Table - Hydrogen and Other Hydrocarbons Net Imports - M - million barrels per day
0._No_Standard_Table - Residential Sector Consumption of Geothermal Energy - M - quadrillion btu
0._No_Standard_Table - Commercial Sector Consumption of Geothermal Energy - M - quadrillion btu
0._No_Standard_Table - Industrial Sector Consumption of Conventional Hydroelectric Energy - M - quadrillion btu
0._No_Standard_Table - Industrial Sector Consumption of Geothermal Energy - M - quadrillion btu
"0._No_Standard_Table - Unplanned liquid fuel production disruptions, Indonesia - M - million barrels per day"
"0._No_Standard_Table - Unplanned liquid fuel production disruptions, Syria - M - million barrels per day"
"0._No_Standard_Table - Unplanned liquid fuel production disruptions, North Sea - M - million barrels per day"
0._No_Standard_Table - Aviation Gasoline Blend Components Refinery Input - M - million barrels per day
0._No_Standard_Table - Oxygenates (excluding Fuel Ethanol) Refinery Input - M - million barrels per day
3c._OPEC_Crude_Oil_(excluding_condensates)_Production - OPEC Other - M - million barrels per day.1
4b._U.S._Hydrocarbon_Gas_Liquids_(HGL)_and_Petroleum_Refinery_Balances - Natural Gasoline (Pentanes Plus) - M - million barrels per day.1
4b._U.S._Hydrocarbon_Gas_Liquids_(HGL)_and_Petroleum_Refinery_Balances - Aviation Gasoline Blend Components - M - million barrels per day
7a._U.S._Electricity_Industry_Overview - Transportation Sector - M - billion kilowatthours
8a._U.S._Renewable_Energy_Consumption - Geothermal - M - quadrillion btu.1
8a._U.S._Renewable_Energy_Consumption - Hydroelectric Power - M - quadrillion btu.1
8a._U.S._Renewable_Energy_Consumption - Geothermal - M - quadrillion btu.2
8a._U.S._Renewable_Energy_Consumption - Geothermal - M - quadrillion btu.3
