DATE,Trend
2015-01-05,45.15
2015-01-06,45.28
2015-01-07,45.41
2015-01-08,45.54
2015-01-09,45.67
2015-01-10,45.8
2015-01-11,45.93
2015-01-12,46.06
2015-01-13,46.19
2015-01-14,46.33
2015-01-15,46.46
2015-01-16,46.6
2015-01-17,46.73
2015-01-18,46.87
2015-01-19,47.01
2015-01-20,47.15
2015-01-21,47.29
2015-01-22,47.43
2015-01-23,47.57
2015-01-24,47.71
2015-01-25,47.85
2015-01-26,47.99
2015-01-27,48.14
2015-01-28,48.28
2015-01-29,48.42
2015-01-30,48.57
2015-01-31,48.72
2015-02-01,48.87
2015-02-02,49.02
2015-02-03,49.18
2015-02-04,49.32
2015-02-05,49.46
2015-02-06,49.6
2015-02-07,49.72
2015-02-08,49.84
2015-02-09,49.95
2015-02-10,50.04
2015-02-11,50.13
2015-02-12,50.21
2015-02-13,50.28
2015-02-14,50.34
2015-02-15,50.39
2015-02-16,50.43
2015-02-17,50.45
2015-02-18,50.46
2015-02-19,50.45
2015-02-20,50.42
2015-02-21,50.37
2015-02-22,50.31
2015-02-23,50.22
2015-02-24,50.12
2015-02-25,50.0
2015-02-26,49.86
2015-02-27,49.71
2015-02-28,49.55
2015-03-01,49.39
2015-03-02,49.23
2015-03-03,49.06
2015-03-04,48.9
2015-03-05,48.75
2015-03-06,48.61
2015-03-07,48.47
2015-03-08,48.35
2015-03-09,48.24
2015-03-10,48.13
2015-03-11,48.05
2015-03-12,47.97
2015-03-13,47.91
2015-03-14,47.86
2015-03-15,47.83
2015-03-16,47.81
2015-03-17,47.81
2015-03-18,47.81
2015-03-19,47.83
2015-03-20,47.87
2015-03-21,47.93
2015-03-22,48.0
2015-03-23,48.1
2015-03-24,48.21
2015-03-25,48.35
2015-03-26,48.51
2015-03-27,48.69
2015-03-28,48.9
2015-03-29,49.12
2015-03-30,49.37
2015-03-31,49.63
2015-04-01,49.9
2015-04-02,50.18
2015-04-03,50.47
2015-04-04,50.77
2015-04-05,51.07
2015-04-06,51.36
2015-04-07,51.66
2015-04-08,51.95
2015-04-09,52.24
2015-04-10,52.53
2015-04-11,52.81
2015-04-12,53.09
2015-04-13,53.36
2015-04-14,53.64
2015-04-15,53.92
2015-04-16,54.2
2015-04-17,54.48
2015-04-18,54.77
2015-04-19,55.05
2015-04-20,55.34
2015-04-21,55.62
2015-04-22,55.9
2015-04-23,56.17
2015-04-24,56.43
2015-04-25,56.67
2015-04-26,56.91
2015-04-27,57.13
2015-04-28,57.34
2015-04-29,57.53
2015-04-30,57.71
2015-05-01,57.88
2015-05-02,58.03
2015-05-03,58.16
2015-05-04,58.29
2015-05-05,58.4
2015-05-06,58.5
2015-05-07,58.58
2015-05-08,58.66
2015-05-09,58.74
2015-05-10,58.8
2015-05-11,58.87
2015-05-12,58.92
2015-05-13,58.98
2015-05-14,59.02
2015-05-15,59.06
2015-05-16,59.1
2015-05-17,59.13
2015-05-18,59.15
2015-05-19,59.17
2015-05-20,59.19
2015-05-21,59.2
2015-05-22,59.21
2015-05-23,59.22
2015-05-24,59.22
2015-05-25,59.23
2015-05-26,59.24
2015-05-27,59.24
2015-05-28,59.25
2015-05-29,59.25
2015-05-30,59.26
2015-05-31,59.28
2015-06-01,59.29
2015-06-02,59.31
2015-06-03,59.34
2015-06-04,59.36
2015-06-05,59.39
2015-06-06,59.42
2015-06-07,59.44
2015-06-08,59.46
2015-06-09,59.48
2015-06-10,59.49
2015-06-11,59.49
2015-06-12,59.48
2015-06-13,59.45
2015-06-14,59.4
2015-06-15,59.34
2015-06-16,59.26
2015-06-17,59.17
2015-06-18,59.05
2015-06-19,58.91
2015-06-20,58.76
2015-06-21,58.59
2015-06-22,58.41
2015-06-23,58.21
2015-06-24,58.0
2015-06-25,57.78
2015-06-26,57.55
2015-06-27,57.3
2015-06-28,57.05
2015-06-29,56.79
2015-06-30,56.51
2015-07-01,56.23
2015-07-02,55.93
2015-07-03,55.63
2015-07-04,55.32
2015-07-05,55.0
2015-07-06,54.68
2015-07-07,54.35
2015-07-08,54.02
2015-07-09,53.68
2015-07-10,53.34
2015-07-11,52.99
2015-07-12,52.65
2015-07-13,52.3
2015-07-14,51.96
2015-07-15,51.61
2015-07-16,51.28
2015-07-17,50.94
2015-07-18,50.61
2015-07-19,50.29
2015-07-20,49.97
2015-07-21,49.66
2015-07-22,49.35
2015-07-23,49.05
2015-07-24,48.75
2015-07-25,48.45
2015-07-26,48.16
2015-07-27,47.87
2015-07-28,47.58
2015-07-29,47.29
2015-07-30,47.0
2015-07-31,46.71
2015-08-01,46.42
2015-08-02,46.13
2015-08-03,45.84
2015-08-04,45.56
2015-08-05,45.28
2015-08-06,45.02
2015-08-07,44.78
2015-08-08,44.55
2015-08-09,44.34
2015-08-10,44.15
2015-08-11,43.98
2015-08-12,43.84
2015-08-13,43.71
2015-08-14,43.61
2015-08-15,43.53
2015-08-16,43.46
2015-08-17,43.41
2015-08-18,43.37
2015-08-19,43.35
2015-08-20,43.34
2015-08-21,43.34
2015-08-22,43.35
2015-08-23,43.38
2015-08-24,43.41
2015-08-25,43.45
2015-08-26,43.5
2015-08-27,43.56
2015-08-28,43.63
2015-08-29,43.71
2015-08-30,43.81
2015-08-31,43.91
2015-09-01,44.03
2015-09-02,44.15
2015-09-03,44.28
2015-09-04,44.41
2015-09-05,44.54
2015-09-06,44.67
2015-09-07,44.8
2015-09-08,44.92
2015-09-09,45.04
2015-09-10,45.14
2015-09-11,45.23
2015-09-12,45.31
2015-09-13,45.38
2015-09-14,45.43
2015-09-15,45.48
2015-09-16,45.52
2015-09-17,45.55
2015-09-18,45.58
2015-09-19,45.6
2015-09-20,45.63
2015-09-21,45.66
2015-09-22,45.69
2015-09-23,45.74
2015-09-24,45.79
2015-09-25,45.84
2015-09-26,45.9
2015-09-27,45.96
2015-09-28,46.02
2015-09-29,46.07
2015-09-30,46.13
2015-10-01,46.17
2015-10-02,46.21
2015-10-03,46.24
2015-10-04,46.26
2015-10-05,46.27
2015-10-06,46.27
2015-10-07,46.26
2015-10-08,46.25
2015-10-09,46.24
2015-10-10,46.23
2015-10-11,46.22
2015-10-12,46.2
2015-10-13,46.19
2015-10-14,46.17
2015-10-15,46.16
2015-10-16,46.13
2015-10-17,46.11
2015-10-18,46.07
2015-10-19,46.03
2015-10-20,45.97
2015-10-21,45.91
2015-10-22,45.83
2015-10-23,45.74
2015-10-24,45.64
2015-10-25,45.53
2015-10-26,45.4
