Date,Keywords,Classification,Positive,Negative,Neutral
20150101,oil prices saudi arabia iran opec islamic state,negative,0.15,0.83,0.02
20150102,gold dollar interest rates greece metals,negative,0.09,0.81,0.1
20150102,natural gas futures cold weather demand storage,negative,0.02,0.96,0.02
20150104,oil prices supply glut brent crude opec us dollar,negative,0.02,0.98,0.0
20150104,gold futures us dollar oil prices federal reserve metals market,negative,0.09,0.89,0.02
20150104,gold prices safe comex nonfarm payrolls federal reserve,negative,0.03,0.89,0.08
20150104,soybeans corn wheat futures usda,negative,0.17,0.83,0.01
20150104,natural gas futures weather storage prices,negative,0.04,0.96,0.0
20150104,crude oil supply glut opec brent us shale,positive,0.54,0.46,0.0
20150105,copper us dollar commodities oil prices gold,negative,0.28,0.69,0.03
20150105,gold oil prices economic slowdown us dollar eurozone,negative,0.01,0.99,0.0
20150105,gold futures oil prices us dollar economic slowdown metals trading,negative,0.03,0.97,0.0
20150105,gold dollar eurozone oil prices federal reserve,negative,0.03,0.96,0.02
20150105,natural gas prices weather demand storage,negative,0.1,0.89,0.01
20150105,crude oil prices opec supply glut us inventory,negative,0.03,0.97,0.0
20150105,oil prices brent crude supply glut opec us dollar,negative,0.03,0.97,0.0
20150105,saudi aramco oil prices europe asia market share,negative,0.39,0.57,0.04
20150105,wheat futures crop damage soybeans corn prices midwest weather,positive,0.99,0.01,0.0
20150105,oil prices supply glut wti brent us dollar,negative,0.01,0.99,0.0
20150106,oil prices saudi arabia supply glut brent crude europe,negative,0.01,0.99,0.0
20150106,copper greece dollar commodities oil,negative,0.22,0.73,0.05
20150106,gold greece euro zone oil prices federal reserve,negative,0.05,0.93,0.02
20150106,gold futures greece oil prices syriza federal reserve,negative,0.07,0.92,0.01
20150106,gold greece federal reserve interest rates safehaven,neutral,0.06,0.01,0.93
20150106,natural gas prices weather forecasts storage heating demand,negative,0.14,0.84,0.02
20150106,crude oil inventories brent opec supply glut,negative,0.48,0.51,0.0
20150106,crude oil inventories brent opec shale,negative,0.01,0.98,0.01
20150106,wheat corn soybeans crop damage midwest,positive,1.0,0.0,0.0
20150106,oil prices supply glut wti brent us dollar,negative,0.01,0.99,0.0
20150106,oil prices wti brent supply glut us dollar,negative,0.01,0.99,0.0
20150107,brent oil crude prices opec us dollar oil inventories,negative,0.03,0.97,0.0
20150107,oil prices brent crude supply glut opec deflation,negative,0.06,0.94,0.0
20150107,copper us dollar greece commodities oil prices,negative,0.06,0.92,0.02
20150107,gold futures federal reserve oil prices us dollar greece,negative,0.32,0.67,0.01
20150107,gold jobs report federal reserve oil prices us dollar,negative,0.06,0.94,0.0
20150107,gold federal reserve interest rates employment safehaven,neutral,0.08,0.1,0.82
20150107,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150107,crude oil federal reserve inventories brent employment,negative,0.01,0.99,0.01
20150107,soybeans futures argentina dry weather crop yields,positive,0.96,0.03,0.01
20150107,oil prices crude inventories gasoline stocks federal reserve opec,negative,0.28,0.71,0.01
20150108,copper ecb us economy gold oil,positive,0.49,0.49,0.02
20150108,gold us economy interest rates oil prices federal reserve,negative,0.02,0.97,0.01
20150108,gold jobless claims us economy interest rates oil prices,negative,0.04,0.95,0.01
20150108,gold jobs data federal reserve interest rates metals,negative,0.12,0.87,0.01
20150108,natural gas futures storage demand weather,negative,0.07,0.92,0.01
20150108,opec oil prices saudi arabia production cuts shale oil,positive,0.99,0.01,0.0
20150108,crude oil jobs data opec brent shale boom,positive,0.89,0.1,0.0
20150108,oil prices crude glut us jobs brent crude supertankers,negative,0.01,0.99,0.0
20150108,wheat futures crop damage corn prices soybean exports argentina,positive,1.0,0.0,0.0
20150108,oil prices supply glut us dollar opec brent crude,negative,0.02,0.98,0.0
20150108,oil prices wti brent inventories quantitative easing,negative,0.14,0.86,0.01
20150109,crude oil supply glut opec us dollar brent,negative,0.1,0.9,0.0
20150109,gold us jobs interest rates dollar index metals,negative,0.06,0.94,0.0
20150109,oil prices brent crude us drilling rigs baker hughes production,negative,0.04,0.96,0.0
20150111,brent crude wti oil prices opec us jobs,negative,0.03,0.97,0.0
20150111,gold us jobs interest rates copper china,negative,0.1,0.89,0.01
20150111,gold dollar jobs report china commodities,negative,0.24,0.75,0.0
20150111,corn soybeans wheat usda report futures,negative,0.1,0.89,0.01
20150111,natural gas futures weather forecasts storage energy prices,negative,0.08,0.9,0.02
20150111,crude oil oversupply brent us rigs opec,negative,0.03,0.97,0.0
20150112,copper global demand us dollar commodities china,positive,0.54,0.45,0.01
20150112,copper prices global demand us dollar commodities oil prices,negative,0.03,0.96,0.0
20150112,crude oil price forecast supply glut goldman sachs commodities,negative,0.02,0.98,0.0
20150112,gold oil prices federal reserve interest rates us dollar,negative,0.07,0.91,0.01
20150112,gold copper crude oil demand asia,positive,0.9,0.09,0.01
20150112,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150112,crude oil price forecast supply glut brent opec,negative,0.02,0.98,0.0
20150112,oil prices goldman sachs opec refinery outages shale production,positive,0.9,0.09,0.0
20150112,wheat futures usda grain stocks corn prices soybean market,negative,0.22,0.75,0.03
20150112,opec oil output venezuela gulf states prices,neutral,0.44,0.02,0.54
20150112,oil prices goldman sachs brent crude wti global supply,negative,0.02,0.97,0.01
20150113,copper china commodities us dollar oil prices,negative,0.05,0.94,0.01
20150113,copper china demand imports prices,negative,0.39,0.59,0.02
20150113,gold oil prices us dollar stock markets china trade,negative,0.06,0.93,0.01
20150113,gold oil prices federal reserve safehaven commodities,negative,0.11,0.88,0.01
20150113,gold prices physical demand interest rates china trade copper futures,positive,0.59,0.36,0.06
20150113,natural gas prices storage weather production,neutral,0.03,0.43,0.54
20150113,crude oil goldman sachs price forecast us inventories opec,negative,0.07,0.93,0.0
20150113,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
20150113,crude oil opec supply glut price forecast global demand,negative,0.03,0.97,0.0
20150113,soybeans corn usda futures harvest,positive,0.93,0.06,0.01
20150113,oil prices wti brent goldman sachs supply glut,negative,0.01,0.99,0.0
20150114,copper commodities global growth oil prices federal reserve,positive,0.81,0.18,0.0
20150114,gold oil prices copper global growth investor sentiment,positive,0.6,0.39,0.0
20150114,gold retail sales economic growth oil prices copper,positive,0.63,0.36,0.0
20150114,gold retail sales us economy interest rates commodities,negative,0.02,0.97,0.01
20150114,nuclear talks john kerry mohammad zarif geneva iran,positive,0.81,0.16,0.03
20150114,natural gas prices weather demand storage,negative,0.1,0.89,0.01
20150114,crude oil supply glut inventories opec global demand,negative,0.03,0.97,0.0
20150114,oil prices crude surge options expiry supply glut us production,positive,0.69,0.31,0.0
20150114,oil prices global supply opec economic outlook crude inventories,negative,0.02,0.98,0.0
20150114,soybeans corn wheat futures usda,negative,0.17,0.83,0.01
20150114,oil prices crude inventories global growth opec brent,negative,0.04,0.96,0.0
20150115,copper commodities oil prices us dollar federal reserve,negative,0.02,0.97,0.0
20150115,gold swiss national bank interest rates us data commodities,negative,0.1,0.45,0.45
20150115,gold federal reserve interest rates copper economic outlook,negative,0.3,0.69,0.02
20150115,gold swiss national bank interest rates dollar commodities,negative,0.08,0.54,0.38
20150115,natural gas futures storage eia weather,negative,0.04,0.9,0.06
20150115,crude oil currency swings brent opec shale supply,positive,0.61,0.38,0.0
20150115,oil prices supply glut brent crude wti futures opec,negative,0.02,0.98,0.0
20150115,oil futures brent crude currency markets opec us economy,negative,0.1,0.87,0.03
20150115,oil prices demand dollar opec inventories,positive,0.81,0.19,0.0
20150115,opec oil prices us output market share demand forecast,negative,0.23,0.76,0.0
20150115,grain futures corn soybeans wheat usda,negative,0.17,0.82,0.01
20150116,crude oil iea swiss national bank oil prices market recovery,positive,0.93,0.06,0.0
20150116,gold us economy interest rates swiss national bank precious metals,negative,0.09,0.89,0.02
20150116,oil prices iea opec supply growth demand,negative,0.45,0.55,0.0
20150116,brent crude oil prices iea oversupply demand,negative,0.02,0.98,0.0
20150118,oil prices iea brent crude gold rally currency markets,positive,0.99,0.01,0.0
20150118,gold swiss national bank currency markets safe ecb,neutral,0.02,0.11,0.87
20150118,gold inflation swiss national bank ecb copper,negative,0.26,0.73,0.0
20150118,corn futures soybeans wheat usda crop yields,positive,0.76,0.21,0.03
20150118,iran saudi arabia oil prices opec diplomacy,negative,0.07,0.92,0.0
20150118,natural gas futures weather storage prices,negative,0.04,0.96,0.0
