Date,Date Group,Headline,Classification,Positive,Negative,Neutral,JSD
2015-01-01,2015-01-01,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,
2015-01-01,2015-01-02,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.3833372170437595
2015-01-02,2015-01-02,gold edges higher remains $ 1200,positive,0.99,0.01,0.0,0.6458696237853343
2015-01-02,2015-01-02,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4076885019498183
2015-01-01,2015-01-03,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.3833372170437595
2015-01-02,2015-01-03,gold edges higher remains $ 1200,positive,0.99,0.01,0.0,0.6458696237853343
2015-01-02,2015-01-03,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4076885019498183
2015-01-01,2015-01-04,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.4055215873276828
2015-01-02,2015-01-04,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4260031091579498
2015-01-04,2015-01-04,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4260031091579498
2015-01-01,2015-01-05,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.427178792310905
2015-01-02,2015-01-05,gold edges higher remains $ 1200,positive,0.99,0.01,0.0,0.648463644598621
2015-01-02,2015-01-05,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4493562993489329
2015-01-04,2015-01-05,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4493562993489329
2015-01-05,2015-01-05,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4493562993489329
2015-01-01,2015-01-06,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.4181260036853914
2015-01-02,2015-01-06,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4402228721037148
2015-01-04,2015-01-06,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4402228721037148
2015-01-05,2015-01-06,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4402228721037148
2015-01-06,2015-01-06,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.4402228721037148
2015-01-01,2015-01-07,iran says saudi arabia move curb oil price fall,negative,0.02,0.98,0.0,0.3960108724642514
2015-01-02,2015-01-07,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.4188178772448633
2015-01-04,2015-01-07,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4188178772448633
2015-01-05,2015-01-07,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4188178772448633
2015-01-06,2015-01-07,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.4188178772448633
2015-01-07,2015-01-07,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.4188178772448633
2015-01-02,2015-01-08,gold edges higher remains $ 1200,positive,0.99,0.01,0.0,0.6306527931751685
2015-01-02,2015-01-08,natural gas eases 2year lows cold weather outlook,negative,0.01,0.99,0.0,0.453845831193403
2015-01-04,2015-01-08,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.453845831193403
2015-01-05,2015-01-08,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.453845831193403
2015-01-06,2015-01-08,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.453845831193403
2015-01-07,2015-01-08,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.453845831193403
2015-01-08,2015-01-08,copper futures rise ecb hopes upbeat us outlook,positive,0.99,0.01,0.0,0.6306527931751685
2015-01-04,2015-01-09,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-05,2015-01-09,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-06,2015-01-09,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-07,2015-01-09,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-08,2015-01-09,copper futures rise ecb hopes upbeat us outlook,positive,0.99,0.01,0.0,0.6318279640727853
2015-01-09,2015-01-09,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2766411087556551
2015-01-04,2015-01-10,nymex crude oil drops early asia demand outlook worries weigh,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-05,2015-01-10,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-06,2015-01-10,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-07,2015-01-10,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.4520721520070733
2015-01-08,2015-01-10,copper futures rise ecb hopes upbeat us outlook,positive,0.99,0.01,0.0,0.6318279640727853
2015-01-09,2015-01-10,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2766411087556551
2015-01-05,2015-01-11,copper futures slump 1week low stronger dollar weighs,negative,0.01,0.99,0.0,0.4526888522526332
2015-01-06,2015-01-11,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.4526888522526332
2015-01-07,2015-01-11,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.4526888522526332
2015-01-08,2015-01-11,copper futures rise ecb hopes upbeat us outlook,positive,0.99,0.01,0.0,0.6321319075185117
2015-01-09,2015-01-11,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.277711445067736
2015-01-11,2015-01-11,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4526888522526332
2015-01-06,2015-01-12,gold prices dip focus greece euro fed minutes,negative,0.01,0.99,0.0,0.412377963683789
2015-01-07,2015-01-12,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.412377963683789
2015-01-08,2015-01-12,gold futures edge lower ahead us data,negative,0.01,0.99,0.0,0.412377963683789
2015-01-09,2015-01-12,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2377151854938513
2015-01-11,2015-01-12,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.412377963683789
2015-01-12,2015-01-12,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0,0.412377963683789
2015-01-07,2015-01-13,brent oil plunges $ 50 barrel first time since may 2009,negative,0.01,0.99,0.0,0.4147868725959357
2015-01-08,2015-01-13,gold futures edge lower ahead us data,negative,0.01,0.99,0.0,0.4147868725959357
2015-01-09,2015-01-13,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2412801623902667
2015-01-11,2015-01-13,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4147868725959357
2015-01-12,2015-01-13,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0,0.4147868725959357
2015-01-13,2015-01-13,copper plunges 5year low despite china trade data,negative,0.01,0.99,0.0,0.4147868725959357
2015-01-08,2015-01-14,gold futures edge lower ahead us data,negative,0.01,0.99,0.0,0.4233732473380235
2015-01-09,2015-01-14,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2493536029102702
2015-01-11,2015-01-14,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4233732473380235
2015-01-12,2015-01-14,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0,0.4233732473380235
2015-01-13,2015-01-14,copper plunges 5year low despite china trade data,negative,0.01,0.99,0.0,0.4233732473380235
2015-01-14,2015-01-14,copper plunges 6 % hit lowest since june 2009,negative,0.02,0.98,0.0,0.4004347186019636
2015-01-09,2015-01-15,crude oil futures reapproach 5year lows,negative,0.13,0.87,0.0,0.2474729040148703
2015-01-11,2015-01-15,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4198209177056164
2015-01-12,2015-01-15,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0,0.4198209177056164
2015-01-13,2015-01-15,copper plunges 5year low despite china trade data,negative,0.01,0.99,0.0,0.4198209177056164
2015-01-14,2015-01-15,copper plunges 6 % hit lowest since june 2009,negative,0.02,0.98,0.0,0.3969222701319269
2015-01-15,2015-01-15,opec see market share drop even oil slump slows shale boom,negative,0.01,0.99,0.0,0.4198209177056164
2015-01-15,2015-01-15,nymex crude asia sentiment whipsawed currency moves,positive,0.92,0.08,0.0,0.562822042720783
2015-01-11,2015-01-16,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4389507289671031
2015-01-12,2015-01-16,copper drops 5year low demand concerns stronger dollar,negative,0.01,0.99,0.0,0.4389507289671031
2015-01-13,2015-01-16,copper plunges 5year low despite china trade data,negative,0.01,0.99,0.0,0.4389507289671031
2015-01-14,2015-01-16,copper plunges 6 % hit lowest since june 2009,negative,0.02,0.98,0.0,0.4163090723646184
2015-01-15,2015-01-16,natural gas futures add gains bullish storage data,positive,0.99,0.01,0.0,0.6488850393149825
2015-01-16,2015-01-16,oil price recovery yet despite us shale slowdown iea,positive,0.99,0.01,0.0,0.6488850393149825
2015-01-11,2015-01-17,nymex crude falls sharply asia oversupply worries grow,negative,0.01,0.99,0.0,0.4389507289671031
