Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20150101,-0.95,-1.0,-0.1
20150102,0.12,0.0,-0.01
20150103,0.12,0.0,-0.01
20150104,-2.2,-0.67,-0.21
20150105,-1.83,-0.2,-0.17
20150106,-0.61,0.09,-0.07
20150107,-5.08,-0.6,-0.46
20150108,2.88,0.27,0.23
20150109,-0.07,-0.33,-0.02
20150110,-0.07,-0.33,-0.02
20150111,-1.62,-0.33,-0.16
20150112,-7.62,-0.82,-0.68
20150113,-3.38,-0.27,-0.31
20150114,-3.45,-0.45,-0.31
20150115,2.48,0.27,0.2
20150116,1.98,0.5,0.15
20150117,1.98,0.5,0.15
20150118,-3.95,-0.71,-0.36
20150119,-5.34,-0.54,-0.48
20150120,-2.24,-0.4,-0.21
20150121,1.39,0.11,0.1
20150122,-1.74,-0.14,-0.17
20150123,0.38,0.0,0.02
20150124,0.38,0.0,0.02
20150125,-1.94,-0.33,-0.18
20150126,-2.72,-0.25,-0.25
20150127,-1.45,-0.2,-0.14
20150128,-2.66,-0.33,-0.25
20150129,-2.52,-0.33,-0.23
20150130,0.95,0.33,0.07
20150131,0.87,1.0,0.06
20150201,-5.74,-0.75,-0.51
20150202,-5.3,-0.75,-0.47
20150203,2.83,0.33,0.23
20150204,-1.68,-0.4,-0.16
20150205,-1.41,-0.2,-0.14
20150206,1.96,1.0,0.15
20150207,1.96,1.0,0.15
20150208,0.08,0.0,-0.01
20150209,0.49,0.17,0.03
20150210,-0.88,0.0,-0.09
20150211,0.0,0.0,-0.02
20150212,1.94,0.33,0.15
20150213,1.14,0.5,0.08
20150214,1.14,0.5,0.08
20150215,-2.21,-0.67,-0.21
20150216,1.63,0.0,0.12
20150217,-1.89,-0.33,-0.18
20150218,-4.29,-0.56,-0.39
20150219,0.9,0.17,0.06
20150220,-1.93,-1.0,-0.18
20150221,-1.93,-1.0,-0.18
20150222,-3.64,-0.67,-0.33
20150223,0.06,0.09,-0.01
20150224,2.05,0.2,0.16
20150225,1.4,0.08,0.1
20150226,0.29,0.0,0.01
20150227,2.66,1.0,0.21
20150228,2.66,1.0,0.21
20150301,-1.98,-0.33,-0.19
20150302,2.25,0.09,0.18
20150303,2.7,0.2,0.22
20150304,-0.19,0.0,-0.03
20150305,0.75,0.09,0.05
20150306,0.2,0.0,0.0
20150307,0.2,0.0,0.0
