"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2020","66.07","66.07","66.07","66.07","","-0.12%"
"01/09/2020","66.15","66.15","66.15","66.15","","0.23%"
"01/08/2020","66.00","66.00","66.00","66.00","","-2.83%"
"01/07/2020","67.92","67.92","67.92","67.92","","-0.53%"
"01/06/2020","68.28","68.28","68.28","68.28","","0.66%"
"01/03/2020","67.83","67.83","67.83","67.83","","3.65%"
"01/02/2020","65.44","65.44","65.44","65.44","","0.85%"
"12/31/2019","64.89","64.89","64.89","64.89","","0.06%"
"12/30/2019","64.85","64.85","64.85","64.85","","0.05%"
"12/27/2019","64.82","64.82","64.82","64.82","","-0.02%"
"12/26/2019","64.83","64.83","64.83","64.83","","0.06%"
"12/24/2019","64.79","64.79","64.79","64.79","","0.22%"
"12/23/2019","64.65","64.65","64.65","64.65","","0.03%"
"12/20/2019","64.63","64.63","64.63","64.63","","-0.11%"
"12/19/2019","64.70","64.70","64.70","64.70","","0.25%"
"12/18/2019","64.54","64.54","64.54","64.54","","0.02%"
"12/17/2019","64.53","64.53","64.53","64.53","","0.53%"
"12/16/2019","64.19","64.19","64.19","64.19","","0.11%"
"12/13/2019","64.12","64.12","64.12","64.12","","1.04%"
"12/12/2019","63.46","63.46","63.46","63.46","","0.76%"
"12/11/2019","62.98","62.98","62.98","62.98","","-0.82%"
"12/10/2019","63.50","63.50","63.50","63.50","","0.25%"
"12/09/2019","63.34","63.34","63.34","63.34","","-0.14%"
"12/06/2019","63.43","63.43","63.43","63.43","","0.97%"
"12/05/2019","62.82","62.82","62.82","62.82","","0.48%"
"12/04/2019","62.52","62.52","62.52","62.52","","3.41%"
"12/03/2019","60.46","60.46","60.46","60.46","","0.08%"
"12/02/2019","60.41","60.41","60.41","60.41","","-2.52%"
"11/29/2019","61.97","61.97","61.97","61.97","","0.03%"
"11/27/2019","61.95","61.95","61.95","61.95","","0.00%"
"11/26/2019","61.95","61.95","61.95","61.95","","0.02%"
"11/25/2019","61.94","61.94","61.94","61.94","","0.06%"
"11/22/2019","61.90","61.90","61.90","61.90","","-0.27%"
"11/21/2019","62.07","62.07","62.07","62.07","","0.76%"
"11/20/2019","61.60","61.60","61.60","61.60","","1.02%"
"11/19/2019","60.98","60.98","60.98","60.98","","-0.94%"
"11/18/2019","61.56","61.56","61.56","61.56","","-0.61%"
"11/15/2019","61.94","61.94","61.94","61.94","","0.81%"
"11/14/2019","61.44","61.44","61.44","61.44","","-0.13%"
"11/13/2019","61.52","61.52","61.52","61.52","","0.38%"
"11/12/2019","61.29","61.29","61.29","61.29","","0.33%"
"11/11/2019","61.09","61.09","61.09","61.09","","-0.31%"
"11/08/2019","61.28","61.28","61.28","61.28","","0.29%"
"11/07/2019","61.10","61.10","61.10","61.10","","0.89%"
"11/06/2019","60.56","60.56","60.56","60.56","","-1.51%"
"11/05/2019","61.49","61.49","61.49","61.49","","0.99%"
"11/04/2019","60.89","60.89","60.89","60.89","","0.58%"
"11/01/2019","60.54","60.54","60.54","60.54","","1.97%"
"10/31/2019","59.37","59.37","59.37","59.37","","0.08%"
"10/30/2019","59.32","59.32","59.32","59.32","","-0.15%"
"10/29/2019","59.41","59.41","59.41","59.41","","-0.07%"
"10/28/2019","59.45","59.45","59.45","59.45","","-0.12%"
"10/25/2019","59.52","59.52","59.52","59.52","","0.12%"
"10/24/2019","59.45","59.45","59.45","59.45","","0.13%"
"10/23/2019","59.37","59.37","59.37","59.37","","0.58%"
"10/22/2019","59.03","59.03","59.03","59.03","","0.27%"
"10/21/2019","58.87","58.87","58.87","58.87","","-0.15%"
"10/18/2019","58.96","58.96","58.96","58.96","","-0.35%"
"10/17/2019","59.17","59.17","59.17","59.17","","0.29%"
"10/16/2019","59.00","59.00","59.00","59.00","","0.24%"
"10/15/2019","58.86","58.86","58.86","58.86","","-0.14%"
"10/14/2019","58.94","58.94","58.94","58.94","","-1.31%"
"10/11/2019","59.72","59.72","59.72","59.72","","1.81%"
"10/10/2019","58.66","58.66","58.66","58.66","","1.24%"
"10/09/2019","57.94","57.94","57.94","57.94","","0.05%"
