DATE,Crude Oil WTI Futures Historical Data_Price,Crude Oil WTI Futures Historical Data_Open,Crude Oil WTI Futures Historical Data_High,Crude Oil WTI Futures Historical Data_Low,Crude Oil WTI Futures Historical Data_Vol.,Crude Oil WTI Futures Historical Data_Change %,Brent Oil Futures Historical Data_Price,Brent Oil Futures Historical Data_Open,Brent Oil Futures Historical Data_High,Brent Oil Futures Historical Data_Low,Brent Oil Futures Historical Data_Vol.,Brent Oil Futures Historical Data_Change %,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Vol.,Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,DCOILBRENTEU_DCOILBRENTEU
2015-01-05,50.04,52.61,52.73,49.68,375780.0,-5.03,53.11,56.25,56.3,52.66,289890.0,-5.87,49.48,49.48,49.48,49.48,10.0,-7.86,51.08
2015-01-06,47.93,50.0,50.37,47.55,451640.0,-4.22,51.1,53.2,53.6,50.52,338880.0,-3.78,48.18,48.18,48.18,48.18,10.0,-2.63,50.12
2015-01-07,48.65,48.0,49.31,46.83,460080.0,1.5,51.15,51.15,51.84,49.66,318280.0,0.1,48.23,48.23,48.23,48.23,10.0,0.1,49.06
2015-01-08,48.79,48.78,49.65,47.73,362080.0,0.29,50.96,51.06,51.91,49.81,243420.0,-0.37,48.01,48.01,48.01,48.01,10.0,-0.46,49.43
2015-01-09,48.36,48.92,49.61,47.16,421010.0,-0.88,50.11,51.25,51.44,48.9,285720.0,-1.67,47.71,47.71,47.71,47.71,10.0,-0.62,47.64
2015-01-10,47.596666666666664,48.67666666666667,49.13666666666666,46.64666666666666,412323.3333333333,-2.166666666666667,49.21666666666667,50.81,50.95333333333333,48.32,265120.0,-2.8966666666666665,47.123333333333335,47.123333333333335,47.123333333333335,47.123333333333335,10.0,-1.643333333333333,47.39333333333333
2015-01-11,46.833333333333336,48.43333333333333,48.663333333333334,46.13333333333333,403636.6666666667,-3.4533333333333336,48.32333333333333,50.37,50.46666666666666,47.739999999999995,244520.0,-4.123333333333333,46.53666666666667,46.53666666666667,46.53666666666667,46.53666666666667,10.0,-2.6666666666666665,47.14666666666667
2015-01-12,46.07,48.19,48.19,45.62,394950.0,-4.74,47.43,49.93,49.98,47.16,223920.0,-5.35,45.95,45.95,45.95,45.95,10.0,-3.69,46.9
2015-01-13,45.89,45.69,46.79,44.2,476540.0,-0.39,46.59,47.06,47.29,45.19,208060.0,-1.77,45.36,45.36,45.36,45.36,10.0,-1.28,45.13
2015-01-14,48.48,46.16,48.91,45.01,510250.0,5.64,48.69,46.84,49.21,45.59,122340.0,4.51,46.5,46.5,46.5,46.5,10.0,2.51,45.82
2015-01-15,46.25,48.6,51.27,46.07,478340.0,-4.6,47.67,48.68,50.62,47.0,17930.0,-2.09,45.58,45.58,45.58,45.58,10.0,-1.98,47.66
2015-01-16,48.69,46.35,48.87,45.95,175630.0,5.28,50.17,48.25,50.41,48.07,293490.0,5.24,46.12,46.12,46.12,46.12,10.0,1.18,47.38
2015-01-17,48.769999999999996,47.650000000000006,48.965,47.365,144157.5,2.8000000000000003,49.72666666666667,48.86666666666667,50.39,48.27333333333333,231250.0,2.61,45.912499999999994,45.912499999999994,45.912499999999994,45.912499999999994,10.0,0.43499999999999994,47.1575
2015-01-18,48.85,48.95,49.06,48.78,112685.0,0.32,49.28333333333334,49.483333333333334,50.37,48.47666666666667,169010.0,-0.020000000000000462,45.705,45.705,45.705,45.705,10.0,-0.31000000000000005,46.935
2015-01-19,47.78,48.84,49.19,47.64,81212.5,-2.18,48.84,50.1,50.35,48.68,106770.0,-2.65,45.4975,45.4975,45.4975,45.4975,10.0,-1.055,46.712500000000006
2015-01-20,46.39,48.69,48.77,45.89,49740.0,-2.91,47.99,48.91,49.48,47.78,259579.99999999997,-1.74,45.29,45.29,45.29,45.29,10.0,-1.8,46.49
2015-01-21,47.78,46.69,48.2,46.55,340250.0,3.0,49.03,48.29,49.59,48.21,268650.0,2.17,45.54,45.54,45.54,45.54,10.0,0.55,46.5
2015-01-22,46.31,47.35,49.09,45.87,426830.0,-3.08,48.52,48.6,50.45,48.02,321470.0,-1.04,45.4,45.4,45.4,45.4,10.0,-0.31,46.09
2015-01-23,45.59,46.63,47.76,45.21,374290.0,-1.55,48.79,49.11,49.8,48.55,245340.0,0.56,45.52,45.52,45.52,45.52,10.0,0.26,46.69
2015-01-24,45.443333333333335,46.153333333333336,47.309999999999995,44.92333333333333,353073.3333333333,-1.3566666666666667,48.58,48.92666666666667,49.629999999999995,48.22333333333333,244020.0,-0.05666666666666664,45.48666666666667,45.48666666666667,45.48666666666667,45.48666666666667,10.0,0.1,46.483333333333334
2015-01-25,45.29666666666667,45.67666666666667,46.86,44.63666666666667,331856.6666666667,-1.1633333333333333,48.37,48.74333333333333,49.46,47.89666666666667,242700.0,-0.6733333333333333,45.45333333333333,45.45333333333333,45.45333333333333,45.45333333333333,10.0,-0.06,46.276666666666664
2015-01-26,45.15,45.2,46.41,44.35,310640.0,-0.97,48.16,48.56,49.29,47.57,241380.0,-1.29,45.42,45.42,45.42,45.42,10.0,-0.22,46.07
2015-01-27,46.23,45.13,46.55,44.81,313140.0,2.39,49.6,48.25,49.99,47.67,249570.0,2.99,45.64,45.64,45.64,45.64,10.0,0.48,46.55
2015-01-28,44.45,45.83,45.83,44.08,365440.0,-3.85,48.47,49.1,49.72,48.29,275150.0,-2.28,45.53,45.53,45.53,45.53,10.0,-0.24,47.07
2015-01-29,44.53,44.43,44.96,43.58,300730.0,0.18,49.13,48.69,49.25,48.37,236630.0,1.36,45.57,45.57,45.57,45.57,10.0,0.09,46.61
2015-01-30,48.24,44.63,48.35,44.31,454140.0,8.33,52.99,49.15,53.08,48.76,335020.0,7.86,45.57,45.57,45.57,45.57,10.0,0.0,47.52
2015-01-31,48.68333333333334,45.61666666666667,49.086666666666666,45.09666666666667,473230.0,6.473333333333334,53.57666666666667,50.32666666666667,53.92666666666666,49.64333333333333,357370.0,6.346666666666667,47.78,47.78,47.78,47.78,10.0,4.8500000000000005,48.92666666666667
