"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2020","62.82","60.96","63.80","60.91","236.06K","3.07%"
"01/02/2020","60.95","61.29","61.32","60.42","101.52K","-0.62%"
"01/01/2020","61.33","61.52","61.54","61.33","","0.92%"
"12/31/2019","60.77","61.41","61.61","60.43","91.86K","-1.09%"
"12/30/2019","61.44","61.49","62.14","60.84","88.44K","-0.15%"
"12/27/2019","61.53","61.51","61.76","61.06","71.75K","0.08%"
"12/26/2019","61.48","61.07","61.60","60.90","47.13K","0.47%"
"12/25/2019","61.19","61.45","61.52","61.17","","0.41%"
"12/24/2019","60.94","60.49","60.99","60.33","34.21K","0.98%"
"12/23/2019","60.35","60.19","60.59","59.95","74.62K","0.17%"
"12/20/2019","60.25","60.84","60.93","59.85","201.74K","-1.52%"
"12/19/2019","61.18","60.81","61.40","60.69","426.34K","0.54%"
"12/18/2019","60.85","60.49","61.11","60.24","553.57K","-0.03%"
"12/17/2019","60.87","60.16","60.97","59.97","416.42K","1.21%"
"12/16/2019","60.14","59.83","60.29","59.62","234.08K","0.27%"
"12/13/2019","59.98","59.26","60.39","59.19","243.57K","1.56%"
"12/12/2019","59.06","58.77","59.61","58.67","200.56K","0.70%"
"12/11/2019","58.65","58.98","59.10","58.02","194.37K","-0.83%"
"12/10/2019","59.14","58.80","59.40","58.46","199.40K","0.37%"
"12/09/2019","58.92","59.03","59.14","58.18","176.14K","-0.30%"
"12/06/2019","59.10","58.26","59.74","57.62","190.65K","1.30%"
"12/05/2019","58.34","58.30","59.00","58.01","149.07K","0.00%"
"12/04/2019","58.34","56.33","58.56","56.21","175.81K","4.12%"
"12/03/2019","56.03","56.00","56.72","55.32","125.74K","0.21%"
"12/02/2019","55.91","55.45","56.64","55.39","146.30K","1.40%"
"11/29/2019","55.14","58.08","58.24","55.01","123.68K","-5.06%"
"11/28/2019","58.08","57.97","58.29","57.64","","0.05%"
"11/27/2019","58.05","58.20","58.60","57.46","86.58K","-0.46%"
"11/26/2019","58.32","57.85","58.47","57.66","76.46K","0.71%"
"11/25/2019","57.91","57.83","58.02","57.12","68.81K","0.43%"
"11/22/2019","57.66","58.22","58.56","57.39","78.27K","-1.28%"
"11/21/2019","58.41","56.91","58.50","56.46","122.17K","2.46%"
"11/20/2019","57.01","55.26","57.37","54.85","674.89K","3.00%"
"11/19/2019","55.35","57.00","57.21","55.16","566.26K","-3.13%"
"11/18/2019","57.14","57.97","58.17","56.64","420.05K","-1.19%"
"11/15/2019","57.83","57.01","58.09","56.53","269.45K","1.67%"
"11/14/2019","56.88","57.42","57.85","56.76","238.30K","-0.56%"
"11/13/2019","57.20","56.83","57.60","56.27","212.62K","0.62%"
"11/12/2019","56.85","56.91","57.59","56.59","214.64K","-0.09%"
"11/11/2019","56.90","57.38","57.40","56.28","179.07K","-0.63%"
"11/08/2019","57.26","57.11","57.48","55.77","195.40K","0.19%"
"11/07/2019","57.15","56.37","57.85","56.31","254.73K","1.37%"
"11/06/2019","56.38","57.30","57.87","56.16","136.88K","-1.59%"
"11/05/2019","57.29","56.60","57.55","56.36","95.62K","1.22%"
"11/04/2019","56.60","56.47","57.45","55.92","140.31K","0.59%"
"11/01/2019","56.27","54.19","56.39","54.14","110.91K","3.72%"
"10/31/2019","54.25","54.99","55.64","53.84","183.13K","-1.54%"
"10/30/2019","55.10","55.62","55.88","54.58","235.05K","-1.04%"
"10/29/2019","55.68","55.88","56.04","54.74","107.44K","-0.39%"
"10/28/2019","55.90","56.70","56.99","55.68","88.18K","-1.43%"
"10/25/2019","56.71","56.13","56.79","55.65","60.70K","0.78%"
"10/24/2019","56.27","55.90","56.55","55.46","99.43K","0.50%"
"10/23/2019","55.99","54.31","56.10","53.69","123.07K","2.77%"
"10/22/2019","54.48","53.60","54.81","53.23","506.57K","1.81%"
"10/21/2019","53.51","53.83","54.17","52.85","509.43K","-0.67%"
"10/18/2019","53.87","54.20","54.69","53.44","472.56K","-0.30%"
"10/17/2019","54.03","53.08","54.26","52.73","316.37K","1.09%"
"10/16/2019","53.45","52.98","53.82","52.60","233.70K","1.08%"
"10/15/2019","52.88","53.56","53.84","52.46","239.81K","-1.44%"
"10/14/2019","53.65","54.97","54.99","52.86","186.99K","-2.06%"
"10/11/2019","54.78","53.87","54.99","53.67","328.28K","2.28%"
"10/10/2019","53.56","52.61","53.98","51.40","219.64K","1.81%"
"10/09/2019","52.61","52.57","53.71","52.30","215.92K","-0.02%"
"10/08/2019","52.62","52.70","53.22","51.78","232.32K","-0.17%"
"10/07/2019","52.71","52.59","53.96","52.52","191.66K","-0.06%"
"10/04/2019","52.74","52.19","53.26","51.98","132.86K","0.73%"
"10/03/2019","52.36","52.31","52.77","50.89","183.88K","-0.29%"
"10/02/2019","52.51","53.85","54.28","52.05","162.10K","-1.85%"
"10/01/2019","53.50","54.13","54.73","52.95","158.30K","-0.89%"
"09/30/2019","53.98","56.39","56.40","53.89","135.51K","-3.24%"
"09/27/2019","55.79","56.30","56.61","54.64","162.93K","-0.87%"
"09/26/2019","56.28","56.55","56.65","55.25","140.39K","-0.07%"
"09/25/2019","56.32","56.45","56.80","55.37","119.73K","-1.33%"
