Date,Price
5-Jan-15,50.05
6-Jan-15,47.98
7-Jan-15,48.69
8-Jan-15,48.8
9-Jan-15,48.35
12-Jan-15,46.06
13-Jan-15,45.92
14-Jan-15,48.49
15-Jan-15,46.37
16-Jan-15,48.49
20-Jan-15,46.79
21-Jan-15,47.85
22-Jan-15,45.93
23-Jan-15,45.26
26-Jan-15,44.8
27-Jan-15,45.84
28-Jan-15,44.08
29-Jan-15,44.12
30-Jan-15,47.79
2-Feb-15,49.25
3-Feb-15,53.04
4-Feb-15,48.45
5-Feb-15,50.48
6-Feb-15,51.66
9-Feb-15,52.99
10-Feb-15,50.06
11-Feb-15,48.8
12-Feb-15,51.17
13-Feb-15,52.66
17-Feb-15,53.56
18-Feb-15,52.13
19-Feb-15,51.12
20-Feb-15,49.95
23-Feb-15,49.56
24-Feb-15,48.48
25-Feb-15,50.25
26-Feb-15,47.65
27-Feb-15,49.84
2-Mar-15,49.59
3-Mar-15,50.43
4-Mar-15,51.53
5-Mar-15,50.76
6-Mar-15,49.61
9-Mar-15,49.95
10-Mar-15,48.42
11-Mar-15,48.06
12-Mar-15,47.12
13-Mar-15,44.88
16-Mar-15,43.93
17-Mar-15,43.39
18-Mar-15,44.63
19-Mar-15,44.02
20-Mar-15,46
23-Mar-15,47.4
24-Mar-15,47.03
25-Mar-15,48.75
26-Mar-15,51.41
27-Mar-15,48.83
30-Mar-15,48.66
31-Mar-15,47.72
1-Apr-15,50.12
2-Apr-15,49.13
6-Apr-15,52.08
7-Apr-15,53.95
8-Apr-15,50.44
9-Apr-15,50.79
10-Apr-15,51.63
13-Apr-15,51.95
14-Apr-15,53.3
15-Apr-15,56.25
16-Apr-15,56.69
17-Apr-15,55.71
20-Apr-15,56.37
21-Apr-15,55.58
22-Apr-15,56.17
23-Apr-15,56.59
24-Apr-15,55.98
27-Apr-15,55.56
28-Apr-15,57.05
29-Apr-15,58.55
30-Apr-15,59.62
1-May-15,59.1
4-May-15,58.92
5-May-15,60.38
6-May-15,60.93
7-May-15,58.99
8-May-15,59.41
11-May-15,59.23
12-May-15,60.72
13-May-15,60.5
14-May-15,59.89
15-May-15,59.73
18-May-15,59.44
19-May-15,57.3
20-May-15,58.96
21-May-15,60.18
22-May-15,58.88
26-May-15,57.29
27-May-15,57.51
28-May-15,57.69
29-May-15,60.25
1-Jun-15,60.24
2-Jun-15,61.3
3-Jun-15,59.67
4-Jun-15,58
5-Jun-15,59.11
8-Jun-15,58.15
9-Jun-15,60.15
10-Jun-15,61.36
11-Jun-15,60.74
12-Jun-15,59.96
15-Jun-15,59.53
16-Jun-15,60.01
17-Jun-15,59.89
18-Jun-15,60.41
19-Jun-15,59.62
22-Jun-15,60.01
23-Jun-15,61.05
24-Jun-15,60.01
25-Jun-15,59.59
26-Jun-15,59.41
29-Jun-15,58.34
30-Jun-15,59.48
1-Jul-15,56.94
2-Jul-15,56.93
6-Jul-15,52.48
7-Jul-15,52.33
8-Jul-15,51.61
9-Jul-15,52.76
10-Jul-15,52.74
13-Jul-15,52.19
14-Jul-15,53.05
15-Jul-15,51.4
16-Jul-15,50.9
17-Jul-15,50.88
20-Jul-15,50.11
21-Jul-15,50.59
22-Jul-15,49.27
23-Jul-15,48.11
24-Jul-15,47.98
27-Jul-15,47.17
28-Jul-15,47.97
29-Jul-15,48.77
30-Jul-15,48.53
31-Jul-15,47.11
3-Aug-15,45.25
4-Aug-15,45.75
5-Aug-15,45.13
6-Aug-15,44.69
7-Aug-15,43.87
10-Aug-15,44.94
11-Aug-15,43.11
12-Aug-15,43.22
13-Aug-15,42.27
14-Aug-15,42.45
17-Aug-15,41.93
18-Aug-15,42.58
19-Aug-15,40.75
20-Aug-15,41
21-Aug-15,40.45
24-Aug-15,38.22
25-Aug-15,39.15
26-Aug-15,38.5
27-Aug-15,42.47
28-Aug-15,45.29
31-Aug-15,49.2
1-Sep-15,45.38
2-Sep-15,46.3
3-Sep-15,46.75
4-Sep-15,46.02
8-Sep-15,45.92
9-Sep-15,44.13
10-Sep-15,45.85
11-Sep-15,44.75
14-Sep-15,44.07
15-Sep-15,44.58
16-Sep-15,47.12
17-Sep-15,46.93
18-Sep-15,44.71
21-Sep-15,46.67
22-Sep-15,46.17
23-Sep-15,44.53
24-Sep-15,44.94
25-Sep-15,45.55
28-Sep-15,44.4
29-Sep-15,45.24
30-Sep-15,45.06
1-Oct-15,44.75
2-Oct-15,45.54
5-Oct-15,46.28
6-Oct-15,48.53
7-Oct-15,47.86
8-Oct-15,49.46
9-Oct-15,49.67
12-Oct-15,47.09
13-Oct-15,46.7
14-Oct-15,46.63
15-Oct-15,46.38
