Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,1.0167,1.6882,1.29,1.7193,1.713,0.6914,0.7344,0.9635
2,1.3483,2.9818,1.7092,2.2686,2.2608,0.7734,0.7474,0.8737
3,1.8285,5.317,2.279,3.0913,3.0784,0.7487,0.7422,0.832
4,2.2529,8.2224,2.8442,3.8195,3.7844,0.7878,0.6927,0.7695
5,2.7686,13.4948,3.6158,4.728,4.6406,0.7174,0.6471,0.724
6,3.0619,17.8362,4.1042,5.2722,5.1243,0.7253,0.6432,0.7435
7,3.282,22.6385,4.5306,5.6969,5.4644,0.6875,0.6029,0.7565
8,3.7043,29.5331,5.1304,6.4458,6.145,0.694,0.6055,0.7174
,,,,,,,,
1,0.0991,0.3851,0.155,0.2101,0.2116,0.0482,0.0324,0.0212
2,0.1976,0.808,0.2455,0.3832,0.379,0.0585,0.0526,0.0562
3,0.3094,1.5207,0.3509,0.5817,0.569,0.048,0.0731,0.0736
4,0.3115,2.0622,0.3644,0.6218,0.5721,0.0507,0.073,0.0564
5,0.4502,4.7568,0.6487,0.9166,0.8197,0.0567,0.0641,0.0212
6,0.5647,8.6114,0.9957,1.1671,0.9921,0.0473,0.0615,0.0404
7,0.7834,14.2749,1.4534,1.605,1.3343,0.0542,0.0677,0.0627
8,1.0551,20.478,1.7922,2.1094,1.7289,0.0433,0.0743,0.0822
