Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,0.9512,1.5728,1.2402,1.6171,1.6121,0.7135,0.7526,0.9596
2,1.2508,2.5843,1.5916,2.1008,2.0928,0.7786,0.7617,0.8802
3,1.7754,5.0703,2.2246,2.9826,2.969,0.7669,0.7344,0.8411
4,2.1625,7.7103,2.7457,3.6439,3.6005,0.8229,0.7044,0.7786
5,2.6665,13.0787,3.5414,4.5437,4.4396,0.7617,0.6745,0.7331
6,2.9296,17.0468,3.9871,5.0391,4.882,0.7357,0.6654,0.7435
7,3.2692,22.3495,4.4857,5.6675,5.4321,0.6758,0.6432,0.7591
8,3.6811,28.2956,5.0114,6.3927,6.0958,0.7005,0.6159,0.6979
,,,,,,,,
1,0.1337,0.4372,0.186,0.2694,0.2704,0.0555,0.0157,0.0244
2,0.1807,0.7158,0.2257,0.3512,0.3454,0.067,0.0146,0.058
3,0.2921,1.6004,0.3488,0.5211,0.5006,0.0465,0.0431,0.0681
4,0.3824,2.3528,0.4142,0.7026,0.6588,0.0164,0.0242,0.0383
5,0.5244,5.5096,0.7329,1.0012,0.8991,0.0169,0.0374,0.0129
6,0.6469,9.2389,1.0725,1.2786,1.1082,0.0332,0.0266,0.0428
7,0.8821,14.7814,1.4926,1.7637,1.4926,0.0415,0.0574,0.0619
8,1.1153,19.9613,1.7837,2.2037,1.8454,0.0662,0.054,0.0567
