Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,1.1386,2.0612,1.4208,1.9304,1.9253,0.6641,0.694,0.9635
2,1.8618,5.3028,2.2631,3.1426,3.1274,0.6497,0.6042,0.8594
3,2.7821,11.5738,3.339,4.6904,4.6619,0.5924,0.4987,0.7943
4,3.4518,18.4875,4.2063,5.8364,5.7755,0.5247,0.4062,0.7201
5,4.2011,28.0968,5.1735,7.1096,7.017,0.4922,0.3451,0.6615
6,4.6636,35.5116,5.803,7.905,7.7882,0.4987,0.3516,0.6081
7,5.0082,41.3227,6.2409,8.5014,8.3585,0.4753,0.319,0.6016
8,5.4236,48.2662,6.7007,9.2093,9.052,0.4609,0.3073,0.5729
,,,,,,,,
1,0.1691,0.5566,0.2065,0.3435,0.335,0.0253,0.0368,0.0205
2,0.3292,1.936,0.4259,0.6333,0.5985,0.0863,0.0351,0.0783
3,0.4887,4.6053,0.6519,0.9097,0.8231,0.0849,0.0517,0.1242
4,0.6836,8.0592,0.8913,1.2925,1.1356,0.0811,0.0359,0.0978
5,0.9023,12.7538,1.1538,1.7083,1.4851,0.0802,0.0579,0.0787
6,1.0613,16.5181,1.3551,1.9962,1.7268,0.1041,0.1067,0.0879
7,1.2163,19.913,1.5408,2.2729,1.9777,0.1434,0.1237,0.0881
8,1.4929,24.9806,1.835,2.7094,2.4275,0.164,0.1354,0.0894
