Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,0.9689,1.5624,1.2406,1.6526,1.6433,0.7201,0.7396,0.9674
2,1.5386,3.8577,1.9352,2.6094,2.5832,0.7474,0.6901,0.8724
3,2.4329,9.2715,2.9814,4.1201,4.0579,0.6706,0.5938,0.8125
4,3.1768,16.3391,3.941,5.3951,5.2719,0.6302,0.5039,0.7396
5,3.9142,25.6754,4.9071,6.6637,6.4601,0.5807,0.4453,0.6693
6,4.3198,33.0305,5.5093,7.3963,7.1107,0.5469,0.4609,0.6237
7,4.5766,38.8072,5.9226,7.8808,7.5143,0.5404,0.4883,0.6276
8,4.8123,44.6239,6.309,8.3441,7.8959,0.5742,0.4609,0.6172
,,,,,,,,
1,0.1215,0.3721,0.1525,0.2516,0.2422,0.0435,0.0144,0.0181
2,0.2784,1.3344,0.3359,0.523,0.4927,0.0622,0.0049,0.0718
3,0.4767,3.8292,0.6186,0.8715,0.7993,0.0433,0.0304,0.1112
4,0.5441,7.4558,0.8985,1.0653,0.9117,0.0271,0.0567,0.0772
5,0.7566,13.3041,1.2632,1.4727,1.2234,0.0208,0.0556,0.048
6,0.9533,19.6308,1.6365,1.876,1.5162,0.0249,0.0223,0.0399
7,1.1304,24.9415,1.9314,2.2564,1.8014,0.0212,0.0115,0.0289
8,1.3568,30.378,2.1957,2.7153,2.1682,0.0261,0.0139,0.0261
