Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,1.1784,2.2821,1.4839,2.0136,2.0006,0.6458,0.6732,0.9622
2,1.9266,5.9077,2.3704,3.2792,3.2452,0.6471,0.5768,0.8568
3,2.881,12.6887,3.4812,4.9009,4.8418,0.5573,0.4753,0.7956
4,3.5457,19.9937,4.3492,6.0532,5.9435,0.5013,0.388,0.7227
5,4.2155,29.4645,5.2412,7.2175,7.0288,0.4466,0.349,0.6589
6,4.5609,36.3603,5.7685,7.8578,7.5918,0.4635,0.3685,0.6107
7,4.7355,41.2812,6.0796,8.2194,7.876,0.4805,0.3945,0.6042
8,5.0013,47.5564,6.447,8.7389,8.3189,0.5039,0.3451,0.5938
,,,,,,,,
1,0.2437,0.7982,0.2832,0.466,0.4536,0.0144,0.0579,0.0226
2,0.4193,2.5907,0.5373,0.7888,0.7422,0.061,0.0447,0.0818
3,0.5574,5.5979,0.7548,1.0321,0.9272,0.0883,0.0374,0.1224
4,0.7504,9.7844,1.0384,1.4313,1.2437,0.0828,0.0327,0.0935
5,1.0204,16.2086,1.4124,1.9768,1.6853,0.0659,0.0686,0.0766
6,1.2183,22.438,1.7564,2.4195,2.0079,0.0573,0.0399,0.091
7,1.3876,28.274,2.0785,2.8261,2.3,0.0283,0.0388,0.0798
8,1.6483,35.7391,2.448,3.3754,2.7411,0.0209,0.0144,0.0782
