Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,0.9111,1.3662,1.1633,1.5366,1.5339,0.7018,0.7552,0.9661
2,1.1482,2.2646,1.4896,1.9248,1.9204,0.7917,0.7812,0.8841
3,1.5635,4.0811,1.9937,2.6298,2.6179,0.8151,0.7852,0.8464
4,2.0402,6.8115,2.5766,3.4484,3.4029,0.8151,0.7292,0.8034
5,2.6516,12.1167,3.4279,4.5131,4.417,0.7344,0.6719,0.7461
6,2.9038,15.6816,3.8708,4.9836,4.843,0.7148,0.668,0.75
7,3.0997,19.3489,4.2358,5.3479,5.1444,0.6979,0.6315,0.7734
8,3.3248,23.5886,4.5902,5.7784,5.508,0.7201,0.6719,0.7344
,,,,,,,,
1,0.0922,0.2567,0.1137,0.1985,0.1998,0.0394,0.0363,0.0208
2,0.1341,0.6597,0.2141,0.2538,0.2507,0.048,0.0223,0.0597
3,0.2617,1.3251,0.3259,0.4597,0.4506,0.037,0.0345,0.0593
4,0.3499,2.1877,0.4156,0.6543,0.615,0.0381,0.0516,0.0279
5,0.4147,4.145,0.6053,0.8579,0.7786,0.0611,0.0559,0.0223
6,0.4811,6.5948,0.8356,1.0343,0.9013,0.0472,0.0586,0.023
7,0.6661,10.6354,1.186,1.3865,1.1858,0.0463,0.0458,0.0564
8,0.9387,15.7357,1.587,1.9095,1.6318,0.0624,0.0666,0.0553
