Timestep,MAE,MSE,RMSE,MAPE,SMAPE,TRENDACC01,TRENDACC02,TRENDACC03
1,0.9394,1.4397,1.1981,1.5825,1.577,0.7174,0.7474,0.9701
2,1.2376,2.5765,1.6011,2.0613,2.056,0.7773,0.7865,0.8737
3,1.6584,4.5275,2.1203,2.7643,2.7484,0.7826,0.7695,0.8268
4,2.1133,7.2117,2.6603,3.5601,3.5187,0.8099,0.7174,0.7878
5,2.6695,12.7934,3.5025,4.5536,4.457,0.7812,0.681,0.7188
6,2.9326,17.3495,3.9818,5.0587,4.887,0.7409,0.6823,0.7448
7,3.1399,21.8193,4.4075,5.4469,5.2123,0.7031,0.6302,0.7812
8,3.4837,27.6517,4.8757,6.0519,5.74,0.7448,0.6589,0.7188
,,,,,,,,
1,0.0689,0.1526,0.0649,0.1658,0.1699,0.0497,0.0226,0.0157
2,0.0646,0.375,0.1146,0.1195,0.1181,0.0637,0.059,0.0627
3,0.1679,0.7794,0.179,0.3184,0.3135,0.0465,0.0691,0.0516
4,0.3409,1.9914,0.3671,0.6578,0.6232,0.0358,0.0562,0.0279
5,0.5534,5.2442,0.725,1.0907,0.9971,0.0283,0.0627,0.0345
6,0.8034,10.0302,1.2226,1.5891,1.4287,0.0212,0.0759,0.0212
7,0.9762,14.5785,1.5469,1.9413,1.6979,0.0666,0.0488,0.0194
8,1.2805,21.5045,1.9695,2.4942,2.1293,0.0641,0.0545,0.0304
